"x0, y0, z0","x1, y1, z1","x2, y2, z2","x3, y3, z3","x4, y4, z4","x5, y5, z5","x6, y6, z6","x7, y7, z7","x8, y8, z8","x9, y9, z9","x10, y10, z10","x11, y11, z11","x12, y12, z12","x13, y13, z13","x14, y14, z14","x15, y15, z15","x16, y16, z16","x17, y17, z17","x18, y18, z18","x19, y19, z19","x20, y20, z20"
"[0.17553305625915527, 0.6781535744667053, 6.951083832973382e-07]","[0.24485036730766296, 0.6881124377250671, -0.03981568664312363]","[0.3178250193595886, 0.6716972589492798, -0.06141567975282669]","[0.3805384337902069, 0.6712275743484497, -0.08101465553045273]","[0.4320487380027771, 0.6905351877212524, -0.10072680562734604]","[0.3244406580924988, 0.5083431005477905, -0.03226751834154129]","[0.3786572217941284, 0.43586400151252747, -0.05599462613463402]","[0.4107375144958496, 0.3909229636192322, -0.07635844498872757]","[0.4365991950035095, 0.35092592239379883, -0.09115941822528839]","[0.2854784429073334, 0.46742257475852966, -0.0323142372071743]","[0.33000126481056213, 0.3686057925224304, -0.05313390493392944]","[0.35663676261901855, 0.3043927550315857, -0.07294239848852158]","[0.3763871192932129, 0.2519190013408661, -0.08730954676866531]","[0.24195268750190735, 0.45096710324287415, -0.03733343631029129]","[0.2746545970439911, 0.35445141792297363, -0.05902622640132904]","[0.2976014018058777, 0.2918800115585327, -0.07755713164806366]","[0.31844159960746765, 0.23961234092712402, -0.08947624266147614]","[0.19290117919445038, 0.45341014862060547, -0.04626031592488289]","[0.20084267854690552, 0.36843836307525635, -0.06683459132909775]","[0.20678001642227173, 0.3122301399707794, -0.07731454074382782]","[0.21644023060798645, 0.25942257046699524, -0.08344851434230804]"
"[0.7799394130706787, 0.6661384105682373, 5.154581117494672e-07]","[0.709987461566925, 0.6805466413497925, -0.030675165355205536]","[0.6366802453994751, 0.6676682233810425, -0.05084056034684181]","[0.5770139098167419, 0.6626423001289368, -0.06859401613473892]","[0.5260282754898071, 0.6699708700180054, -0.08691468089818954]","[0.6312943696975708, 0.5059589147567749, -0.03283943980932236]","[0.5796994566917419, 0.43044885993003845, -0.05461227893829346]","[0.5492337346076965, 0.3828718662261963, -0.07320806384086609]","[0.5241582989692688, 0.3389502763748169, -0.08795475214719772]","[0.6652519702911377, 0.46620848774909973, -0.03693687543272972]","[0.6216590404510498, 0.372628390789032, -0.05420757457613945]","[0.596286416053772, 0.31163620948791504, -0.07000365108251572]","[0.5754631161689758, 0.2603771686553955, -0.08339907974004745]","[0.7062167525291443, 0.4496016502380371, -0.04515356197953224]","[0.6744559407234192, 0.35712510347366333, -0.06441295892000198]","[0.6545960903167725, 0.29756081104278564, -0.07816381007432938]","[0.6351180076599121, 0.24642008543014526, -0.08953499794006348]","[0.7516846060752869, 0.4504702389240265, -0.05630159378051758]","[0.7419230937957764, 0.37347209453582764, -0.07441446185112]","[0.7347953915596008, 0.3221387565135956, -0.08246893435716629]","[0.7255334258079529, 0.27466535568237305, -0.08903277665376663]"
"[0.17078132927417755, 0.6776199340820312, 7.159168262660387e-07]","[0.24074195325374603, 0.6858137845993042, -0.039547454565763474]","[0.3127857446670532, 0.6713047027587891, -0.06124230474233627]","[0.37529081106185913, 0.6733710765838623, -0.08130864799022675]","[0.4276944100856781, 0.6917369365692139, -0.101615309715271]","[0.31898680329322815, 0.505161702632904, -0.029170667752623558]","[0.3726392388343811, 0.4338454306125641, -0.052675362676382065]","[0.40493351221084595, 0.38981568813323975, -0.07384470850229263]","[0.43191981315612793, 0.34986400604248047, -0.08941181004047394]","[0.2804267406463623, 0.4656541049480438, -0.02982816845178604]","[0.3250032663345337, 0.3688036799430847, -0.05051098018884659]","[0.3528660833835602, 0.30448001623153687, -0.07146376371383667]","[0.3746817708015442, 0.25158557295799255, -0.08692197501659393]","[0.23698264360427856, 0.4499603807926178, -0.035681094974279404]","[0.2701885402202606, 0.35463476181030273, -0.057807259261608124]","[0.29365551471710205, 0.2917843163013458, -0.07725522667169571]","[0.3157062232494354, 0.23930752277374268, -0.08985137939453125]","[0.1878504455089569, 0.4523881673812866, -0.04548727348446846]","[0.19571702182292938, 0.367570161819458, -0.06675277650356293]","[0.2015485167503357, 0.3108290433883667, -0.07780352234840393]","[0.2112799733877182, 0.25708991289138794, -0.08433268964290619]"
"[0.7819091081619263, 0.6639447212219238, 5.17313480941084e-07]","[0.7137705683708191, 0.6783909797668457, -0.02922552451491356]","[0.6398142576217651, 0.6668334603309631, -0.04821721464395523]","[0.5807954668998718, 0.6638725399971008, -0.06515198200941086]","[0.5315142273902893, 0.6733392477035522, -0.0825980082154274]","[0.631840705871582, 0.5046642422676086, -0.02990717627108097]","[0.5791414380073547, 0.4312152862548828, -0.05094321072101593]","[0.5484321117401123, 0.3846415877342224, -0.0692865252494812]","[0.5229887366294861, 0.3421079218387604, -0.0838497132062912]","[0.6649981141090393, 0.46483930945396423, -0.0342840738594532]","[0.6203370690345764, 0.3722519874572754, -0.05100603774189949]","[0.5937941670417786, 0.3116874098777771, -0.06667105108499527]","[0.5717681646347046, 0.2616446912288666, -0.07969065010547638]","[0.7060359120368958, 0.44730159640312195, -0.04271136224269867]","[0.6722108125686646, 0.3551488518714905, -0.06142832338809967]","[0.6523522734642029, 0.29523876309394836, -0.07468238472938538]","[0.6327744126319885, 0.2437036633491516, -0.08545031398534775]","[0.752217710018158, 0.4468441903591156, -0.054031528532505035]","[0.742030680179596, 0.3700979948043823, -0.07152042537927628]","[0.7339857220649719, 0.31876039505004883, -0.07899928838014603]","[0.7237837314605713, 0.270952045917511, -0.08499247580766678]"
"[0.1649620234966278, 0.6742607951164246, 7.173715630415245e-07]","[0.23570649325847626, 0.6820759773254395, -0.03773074969649315]","[0.30780157446861267, 0.6662657260894775, -0.05913865566253662]","[0.3701234459877014, 0.6668723821640015, -0.07950946688652039]","[0.421338826417923, 0.688381552696228, -0.10048594325780869]","[0.3089770972728729, 0.4987908899784088, -0.02857753075659275]","[0.3621479272842407, 0.42567628622055054, -0.051674097776412964]","[0.3944411277770996, 0.38043493032455444, -0.07193725556135178]","[0.4210042357444763, 0.34140002727508545, -0.08694837242364883]","[0.26990586519241333, 0.4603498578071594, -0.0303176399320364]","[0.31329771876335144, 0.3601134419441223, -0.05062945559620857]","[0.339611679315567, 0.2958909869194031, -0.07061204314231873]","[0.35929691791534424, 0.24503451585769653, -0.08533571660518646]","[0.22689242660999298, 0.44587334990501404, -0.03702055290341377]","[0.26018044352531433, 0.3466753363609314, -0.058506544679403305]","[0.2815112769603729, 0.28078800439834595, -0.07746699452400208]","[0.30079296231269836, 0.2270471751689911, -0.09001694619655609]","[0.17859554290771484, 0.4509255588054657, -0.0475345253944397]","[0.1851760447025299, 0.3667212724685669, -0.06869177520275116]","[0.19034512341022491, 0.3093225359916687, -0.07990770041942596]","[0.19872595369815826, 0.25587475299835205, -0.08660591393709183]"
"[0.7751724720001221, 0.6525892615318298, 5.663283673129627e-07]","[0.7084894180297852, 0.6680064797401428, -0.030549705028533936]","[0.6346006393432617, 0.6600276231765747, -0.05168464034795761]","[0.5750329494476318, 0.6597700119018555, -0.07039713114500046]","[0.5264675617218018, 0.6730513572692871, -0.08987152576446533]","[0.6252717971801758, 0.4997310936450958, -0.0371653288602829]","[0.5710629820823669, 0.4267054796218872, -0.05977694317698479]","[0.5392323136329651, 0.38006412982940674, -0.07868536561727524]","[0.5130352973937988, 0.33689939975738525, -0.09345581382513046]","[0.6577151417732239, 0.46062275767326355, -0.04141315072774887]","[0.611011803150177, 0.3662428855895996, -0.05980229005217552]","[0.5828536748886108, 0.3048381209373474, -0.07611241936683655]","[0.5597201585769653, 0.253242552280426, -0.0897211804986]","[0.6984341740608215, 0.44306138157844543, -0.04925992712378502]","[0.6636196374893188, 0.34741440415382385, -0.06901375949382782]","[0.6413533687591553, 0.2897685766220093, -0.08291257917881012]","[0.619614839553833, 0.2405325472354889, -0.09416849911212921]","[0.7446578741073608, 0.4419625401496887, -0.0598793663084507]","[0.733814001083374, 0.3615548610687256, -0.07837628573179245]","[0.7241845726966858, 0.3086487650871277, -0.08656895160675049]","[0.7123064994812012, 0.2598493993282318, -0.09300830960273743]"
"[0.16539321839809418, 0.6785525679588318, 7.164983344409848e-07]","[0.23497311770915985, 0.6870880722999573, -0.03987177088856697]","[0.30692675709724426, 0.6701789498329163, -0.06214307248592377]","[0.3690280318260193, 0.6727210283279419, -0.0826558843255043]","[0.4217318296432495, 0.6966952085494995, -0.10332489758729935]","[0.3108626902103424, 0.5035496354103088, -0.0316842757165432]","[0.36256951093673706, 0.42931124567985535, -0.0556282103061676]","[0.39431002736091614, 0.38408559560775757, -0.07640928775072098]","[0.4206559658050537, 0.34373748302459717, -0.0916905328631401]","[0.2720426023006439, 0.4636063277721405, -0.031881704926490784]","[0.31490933895111084, 0.3640802800655365, -0.05298260226845741]","[0.3410336971282959, 0.2989317774772644, -0.07320234179496765]","[0.36078768968582153, 0.2460404336452484, -0.08803799003362656]","[0.22839851677417755, 0.4486176073551178, -0.03718188777565956]","[0.25992757081985474, 0.3507924973964691, -0.05935356020927429]","[0.2810567319393158, 0.2871449887752533, -0.07876851409673691]","[0.29999327659606934, 0.23389920592308044, -0.09120474755764008]","[0.17941886186599731, 0.4527154862880707, -0.04638603329658508]","[0.1874602735042572, 0.3666800260543823, -0.06740293651819229]","[0.19237221777439117, 0.30941954255104065, -0.07868079096078873]","[0.20067280530929565, 0.25522586703300476, -0.08544731885194778]"
"[0.773093044757843, 0.6511058211326599, 5.478160574057256e-07]","[0.7038792371749878, 0.6665225028991699, -0.029349738731980324]","[0.6308697462081909, 0.6581981182098389, -0.04897702485322952]","[0.5722033977508545, 0.6588736176490784, -0.06648626923561096]","[0.5232641696929932, 0.6708494424819946, -0.08451147377490997]","[0.6215216517448425, 0.4990443289279938, -0.031579624861478806]","[0.5682420134544373, 0.4263840317726135, -0.05309146270155907]","[0.5370948314666748, 0.38044077157974243, -0.0715457871556282]","[0.5111770629882812, 0.3382294774055481, -0.08600615710020065]","[0.6544289588928223, 0.457560658454895, -0.03592607006430626]","[0.6085907816886902, 0.36478376388549805, -0.0530007928609848]","[0.5807491540908813, 0.30457252264022827, -0.06871867924928665]","[0.5573517680168152, 0.25438791513442993, -0.08172718435525894]","[0.6948549747467041, 0.43779250979423523, -0.04419540613889694]","[0.6602067947387695, 0.3449905514717102, -0.0629233792424202]","[0.6380569934844971, 0.28653645515441895, -0.07628188282251358]","[0.6163169741630554, 0.23675459623336792, -0.08706740289926529]","[0.740717351436615, 0.4353252947330475, -0.05530431494116783]","[0.7308104038238525, 0.3586205542087555, -0.0725848600268364]","[0.7211759686470032, 0.3071385324001312, -0.08010172098875046]","[0.7091381549835205, 0.2598976492881775, -0.08606352657079697]"
"[0.16358333826065063, 0.6811846494674683, 7.227790774777532e-07]","[0.2326306253671646, 0.6904704570770264, -0.04069669172167778]","[0.3037828207015991, 0.674493670463562, -0.06345444172620773]","[0.3651329278945923, 0.6769008636474609, -0.08423957973718643]","[0.4179084897041321, 0.7025548815727234, -0.10505729913711548]","[0.31044939160346985, 0.5081334710121155, -0.03222781792283058]","[0.3634538948535919, 0.43478938937187195, -0.05585721135139465]","[0.3950577974319458, 0.38910144567489624, -0.076319620013237]","[0.42082399129867554, 0.3482423722743988, -0.09149006754159927]","[0.2718130946159363, 0.4676438570022583, -0.03189144283533096]","[0.31581687927246094, 0.3687737286090851, -0.05290784314274788]","[0.34205877780914307, 0.3038410544395447, -0.07285232841968536]","[0.3616487979888916, 0.2509627938270569, -0.08747020363807678]","[0.2283484786748886, 0.4519803524017334, -0.03668536990880966]","[0.2605433762073517, 0.354422390460968, -0.05881505459547043]","[0.28204745054244995, 0.29102998971939087, -0.0781303122639656]","[0.30118340253829956, 0.2377951741218567, -0.09053269773721695]","[0.17949458956718445, 0.45512300729751587, -0.045442067086696625]","[0.18747764825820923, 0.3696761727333069, -0.06653885543346405]","[0.1923096477985382, 0.31263768672943115, -0.07789326459169388]","[0.20033380389213562, 0.25848349928855896, -0.08469382673501968]"
"[0.7710751295089722, 0.6514720916748047, 5.464509058583644e-07]","[0.7017195224761963, 0.6666171550750732, -0.029502125456929207]","[0.6284574270248413, 0.6589996218681335, -0.04953688383102417]","[0.5695309042930603, 0.6598455309867859, -0.06752500683069229]","[0.5199643969535828, 0.6716921925544739, -0.08604519069194794]","[0.6187711954116821, 0.4991544187068939, -0.03163919597864151]","[0.5636382102966309, 0.4281942844390869, -0.05362991616129875]","[0.5317038893699646, 0.3827388882637024, -0.07226203382015228]","[0.5056463479995728, 0.34070828557014465, -0.08679188042879105]","[0.6513751745223999, 0.4577614367008209, -0.03639467805624008]","[0.6040081977844238, 0.36592984199523926, -0.05437612161040306]","[0.5755131244659424, 0.30568093061447144, -0.07063650339841843]","[0.5523037314414978, 0.255645751953125, -0.08388976752758026]","[0.6918675899505615, 0.4378509521484375, -0.04516811668872833]","[0.6562944054603577, 0.3453528881072998, -0.06485843658447266]","[0.632875919342041, 0.2870040535926819, -0.07881366461515427]","[0.6105450391769409, 0.2370789349079132, -0.0898900106549263]","[0.7377925515174866, 0.43494945764541626, -0.05673588439822197]","[0.7262293696403503, 0.3591303825378418, -0.07475949823856354]","[0.7158651947975159, 0.30756282806396484, -0.082666777074337]","[0.7035341262817383, 0.25985652208328247, -0.08885473757982254]"
"[0.1626606285572052, 0.6834725737571716, 7.218079645099351e-07]","[0.23173993825912476, 0.6914591193199158, -0.04105577990412712]","[0.30352529883384705, 0.6757299304008484, -0.06442010402679443]","[0.3659029006958008, 0.6788631677627563, -0.08567661046981812]","[0.4187858998775482, 0.7011345028877258, -0.10699635744094849]","[0.30935442447662354, 0.5099461078643799, -0.033504653722047806]","[0.3630024790763855, 0.43771716952323914, -0.05740119889378548]","[0.394671767950058, 0.3922156095504761, -0.07801979035139084]","[0.42014166712760925, 0.3514401912689209, -0.09323789924383163]","[0.2703411877155304, 0.469614714384079, -0.033296797424554825]","[0.3143329322338104, 0.37022483348846436, -0.054133184254169464]","[0.340427428483963, 0.30614060163497925, -0.07393009215593338]","[0.3598683178424835, 0.2534317672252655, -0.08853361755609512]","[0.22681723535060883, 0.45411619544029236, -0.03815304860472679]","[0.2589854896068573, 0.3569587469100952, -0.05983790010213852]","[0.28104445338249207, 0.2939491868019104, -0.07855618000030518]","[0.30080199241638184, 0.24078989028930664, -0.09080539643764496]","[0.1779840886592865, 0.4576486647129059, -0.04703126102685928]","[0.18531107902526855, 0.3724142014980316, -0.06763476878404617]","[0.19036149978637695, 0.3154717683792114, -0.07830405235290527]","[0.19866882264614105, 0.26143187284469604, -0.08473493158817291]"
"[0.769157886505127, 0.6519585251808167, 5.515172460945905e-07]","[0.6984636783599854, 0.6672149300575256, -0.029264094308018684]","[0.6249656677246094, 0.6596601605415344, -0.04903026297688484]","[0.5661903023719788, 0.6609445810317993, -0.06684982031583786]","[0.5167469382286072, 0.6740518808364868, -0.08524348586797714]","[0.6156852841377258, 0.5008394718170166, -0.031125221401453018]","[0.5611861944198608, 0.4288713335990906, -0.05297727510333061]","[0.5293872356414795, 0.3830600380897522, -0.07175500690937042]","[0.5027936100959778, 0.3407168984413147, -0.08644426614046097]","[0.6483800411224365, 0.4590057134628296, -0.03590325638651848]","[0.6013521552085876, 0.3670448362827301, -0.05361277982592583]","[0.5727136731147766, 0.3066977858543396, -0.07007057219743729]","[0.5486389994621277, 0.25585809350013733, -0.08358994871377945]","[0.6886935830116272, 0.4386182427406311, -0.04464484751224518]","[0.6535595059394836, 0.3453085422515869, -0.06392955034971237]","[0.630042314529419, 0.28658491373062134, -0.07796987891197205]","[0.6070903539657593, 0.23613253235816956, -0.08920959383249283]","[0.7343072295188904, 0.4354436695575714, -0.056193768978118896]","[0.7235811948776245, 0.35912397503852844, -0.07382680475711823]","[0.7132833003997803, 0.3072434663772583, -0.08158735930919647]","[0.7007544636726379, 0.25909310579299927, -0.08773189783096313]"
"[0.16188941895961761, 0.6851051449775696, 7.351241606556869e-07]","[0.23101232945919037, 0.6923842430114746, -0.04198821634054184]","[0.30198347568511963, 0.6768989562988281, -0.0656735748052597]","[0.3641561269760132, 0.6807843446731567, -0.08721204847097397]","[0.41730862855911255, 0.7010765671730042, -0.10884584486484528]","[0.3061091899871826, 0.5097044110298157, -0.0333581268787384]","[0.3584365248680115, 0.436397522687912, -0.05747527256608009]","[0.38993364572525024, 0.3914300799369812, -0.07866448163986206]","[0.41604363918304443, 0.350400447845459, -0.09435653686523438]","[0.2673546373844147, 0.47051578760147095, -0.03291108459234238]","[0.3109705150127411, 0.37199029326438904, -0.05391876772046089]","[0.3373680114746094, 0.30777299404144287, -0.07451441138982773]","[0.35744038224220276, 0.2545512020587921, -0.08987738192081451]","[0.22386901080608368, 0.45579102635383606, -0.03771280124783516]","[0.2548840045928955, 0.3592512607574463, -0.05962751805782318]","[0.2766006886959076, 0.2957800626754761, -0.07891730219125748]","[0.29659005999565125, 0.24209877848625183, -0.0916094109416008]","[0.1746595948934555, 0.45934176445007324, -0.04666442051529884]","[0.18124806880950928, 0.3736547529697418, -0.06748802959918976]","[0.1859370470046997, 0.31659719347953796, -0.07844531536102295]","[0.19413632154464722, 0.2622361183166504, -0.08513803780078888]"
"[0.76700758934021, 0.6514729261398315, 5.37716630333307e-07]","[0.6980348229408264, 0.6678448915481567, -0.029549747705459595]","[0.6246063709259033, 0.660550594329834, -0.04918283224105835]","[0.5658308267593384, 0.6625157594680786, -0.06673000752925873]","[0.5167315006256104, 0.6763706207275391, -0.08494868874549866]","[0.6138254404067993, 0.501232385635376, -0.03200499340891838]","[0.5590477585792542, 0.4301483631134033, -0.05420682206749916]","[0.5267998576164246, 0.3847818970680237, -0.0731051117181778]","[0.49977442622184753, 0.3429749011993408, -0.08790254592895508]","[0.646203875541687, 0.4595127999782562, -0.03663749620318413]","[0.599201500415802, 0.368277907371521, -0.05463626980781555]","[0.5701512098312378, 0.30882424116134644, -0.07123222202062607]","[0.5453760027885437, 0.2586122453212738, -0.08485168218612671]","[0.6862685680389404, 0.4393557906150818, -0.04522565007209778]","[0.6508758664131165, 0.34675735235214233, -0.06492611765861511]","[0.6269010305404663, 0.28812485933303833, -0.0792674794793129]","[0.6034239530563354, 0.23757293820381165, -0.09072815626859665]","[0.7317734956741333, 0.4368447959423065, -0.05661956965923309]","[0.7212704420089722, 0.36094847321510315, -0.07484724372625351]","[0.7111828923225403, 0.30924874544143677, -0.083038330078125]","[0.6987873911857605, 0.26124972105026245, -0.08949049562215805]"
"[0.15970715880393982, 0.683519184589386, 7.418298082484398e-07]","[0.22935539484024048, 0.6890189051628113, -0.041868239641189575]","[0.30049651861190796, 0.674094557762146, -0.06573434919118881]","[0.36221224069595337, 0.6780050992965698, -0.08770383149385452]","[0.41478389501571655, 0.7003594636917114, -0.10998429358005524]","[0.3028426170349121, 0.5082559585571289, -0.033789098262786865]","[0.35477322340011597, 0.43532347679138184, -0.05932093784213066]","[0.3866433799266815, 0.3894171714782715, -0.08131510019302368]","[0.41349413990974426, 0.3480135202407837, -0.09740326553583145]","[0.2637938857078552, 0.46929100155830383, -0.03377649560570717]","[0.3061036765575409, 0.37092870473861694, -0.056435368955135345]","[0.3320385813713074, 0.30631184577941895, -0.0776277631521225]","[0.35230693221092224, 0.2531520128250122, -0.09313294291496277]","[0.2199726402759552, 0.45494234561920166, -0.03906220942735672]","[0.250796377658844, 0.35843920707702637, -0.06251119822263718]","[0.27208295464515686, 0.2937619090080261, -0.08215685188770294]","[0.2918459475040436, 0.23962900042533875, -0.09482622146606445]","[0.17082911729812622, 0.45890942215919495, -0.04847818613052368]","[0.17774736881256104, 0.37413573265075684, -0.07034390419721603]","[0.18313071131706238, 0.31709352135658264, -0.08168446272611618]","[0.19207264482975006, 0.26276785135269165, -0.08850987255573273]"
"[0.7680400013923645, 0.6521705985069275, 5.454570555230021e-07]","[0.6990968585014343, 0.6697090268135071, -0.031007084995508194]","[0.6259050965309143, 0.662225604057312, -0.05145867168903351]","[0.565970778465271, 0.663560688495636, -0.06961104273796082]","[0.5149775147438049, 0.677115261554718, -0.08815672993659973]","[0.6141088008880615, 0.5011217594146729, -0.03205448389053345]","[0.5588319301605225, 0.4305347204208374, -0.0544874407351017]","[0.5261048078536987, 0.3855791985988617, -0.0738055482506752]","[0.49848854541778564, 0.3438076972961426, -0.08896148949861526]","[0.6460419297218323, 0.4586140215396881, -0.035908352583646774]","[0.5982592701911926, 0.3683398962020874, -0.05418647825717926]","[0.5687962770462036, 0.3088077902793884, -0.0709165409207344]","[0.5435847043991089, 0.25827616453170776, -0.08457747846841812]","[0.6861164569854736, 0.43814393877983093, -0.043902140110731125]","[0.6495331525802612, 0.34676340222358704, -0.06385306268930435]","[0.6254996061325073, 0.28800880908966064, -0.07807623594999313]","[0.6016620397567749, 0.23734420537948608, -0.08938640356063843]","[0.731763482093811, 0.4350377321243286, -0.054862987250089645]","[0.7207558751106262, 0.3591431975364685, -0.07318054139614105]","[0.7101918458938599, 0.3079845905303955, -0.0813114196062088]","[0.6969394683837891, 0.26035362482070923, -0.08767694234848022]"
"[0.14311832189559937, 0.6855687499046326, 7.365670740000496e-07]","[0.21391615271568298, 0.6927598714828491, -0.04110788181424141]","[0.2838610112667084, 0.6760293245315552, -0.0640924870967865]","[0.3460908532142639, 0.6756213903427124, -0.08545497804880142]","[0.39834022521972656, 0.6962997317314148, -0.1074310764670372]","[0.2831895053386688, 0.5053188800811768, -0.03417993709445]","[0.33844757080078125, 0.4296918213367462, -0.05927378311753273]","[0.3712129294872284, 0.3810241222381592, -0.08064711093902588]","[0.3976573944091797, 0.33800819516181946, -0.09657725691795349]","[0.24380919337272644, 0.4675252139568329, -0.0346614271402359]","[0.28614774346351624, 0.3640577793121338, -0.05752631649374962]","[0.3123760521411896, 0.29742756485939026, -0.07935693114995956]","[0.3323933482170105, 0.24430003762245178, -0.09530588984489441]","[0.2003672569990158, 0.45475202798843384, -0.040059834718704224]","[0.22982555627822876, 0.3523053526878357, -0.06368038058280945]","[0.24960733950138092, 0.2844177782535553, -0.08412942290306091]","[0.26721295714378357, 0.2293093204498291, -0.0974450558423996]","[0.15220442414283752, 0.4621610641479492, -0.049416325986385345]","[0.15511873364448547, 0.37593549489974976, -0.07261013239622116]","[0.15849220752716064, 0.3164970278739929, -0.0854232907295227]","[0.1653621643781662, 0.26129359006881714, -0.09293095022439957]"
"[0.7713350653648376, 0.6486718654632568, 5.746965712205565e-07]","[0.7020023465156555, 0.6677674055099487, -0.030945854261517525]","[0.6280303597450256, 0.6621009707450867, -0.05233122035861015]","[0.5679871439933777, 0.6641466617584229, -0.0713779628276825]","[0.5173467397689819, 0.6773550510406494, -0.09122700244188309]","[0.6166648268699646, 0.49959272146224976, -0.03757653385400772]","[0.5606935024261475, 0.4288749694824219, -0.061656221747398376]","[0.527726948261261, 0.3823344111442566, -0.08157461881637573]","[0.5000602006912231, 0.33902493119239807, -0.09692959487438202]","[0.6490355134010315, 0.4565421938896179, -0.04192594811320305]","[0.600219190120697, 0.36516112089157104, -0.062369365245103836]","[0.5712610483169556, 0.30383509397506714, -0.0800151452422142]","[0.5465882420539856, 0.25108155608177185, -0.09401022642850876]","[0.6905876398086548, 0.43597015738487244, -0.049930159002542496]","[0.6541416049003601, 0.3412013053894043, -0.0729697048664093]","[0.6325304508209229, 0.27852195501327515, -0.08909659832715988]","[0.611459493637085, 0.22429093718528748, -0.10116230696439743]","[0.7377951741218567, 0.43368616700172424, -0.0604853592813015]","[0.7316264510154724, 0.3510958254337311, -0.08186894655227661]","[0.7277048826217651, 0.2941676676273346, -0.09148073196411133]","[0.7209224700927734, 0.24170508980751038, -0.09839662164449692]"
"[0.14110080897808075, 0.6881524324417114, 7.844026299608231e-07]","[0.21097521483898163, 0.6944149136543274, -0.0440463051199913]","[0.2819318175315857, 0.6766111850738525, -0.06876438856124878]","[0.34327322244644165, 0.6784144639968872, -0.09126365929841995]","[0.39577481150627136, 0.7025145292282104, -0.11406202614307404]","[0.27992457151412964, 0.5033746957778931, -0.036482807248830795]","[0.33226409554481506, 0.4285614788532257, -0.0626196637749672]","[0.36488068103790283, 0.3790609836578369, -0.08480900526046753]","[0.39086711406707764, 0.3362099528312683, -0.10115140676498413]","[0.23891058564186096, 0.4650672376155853, -0.03591287136077881]","[0.2795993685722351, 0.36192095279693604, -0.05927508696913719]","[0.3053185045719147, 0.2948550283908844, -0.08082951605319977]","[0.32506150007247925, 0.24078530073165894, -0.09650254994630814]","[0.19403447210788727, 0.4528941512107849, -0.0407155305147171]","[0.22103986144065857, 0.35054928064346313, -0.065280020236969]","[0.24015776813030243, 0.28238117694854736, -0.08628492057323456]","[0.25771278142929077, 0.22590741515159607, -0.09982989728450775]","[0.14484944939613342, 0.46116670966148376, -0.04974199831485748]","[0.14606882631778717, 0.3749851584434509, -0.07328147441148758]","[0.1485353708267212, 0.31586459279060364, -0.08634588867425919]","[0.1550685316324234, 0.2598518133163452, -0.09424595534801483]"
"[0.7689511179924011, 0.650658130645752, 5.741133577430446e-07]","[0.7003827095031738, 0.6691272854804993, -0.0300300270318985]","[0.6265193223953247, 0.661390483379364, -0.04971396550536156]","[0.5667502880096436, 0.6610704660415649, -0.06750109046697617]","[0.5161504745483398, 0.6747093200683594, -0.08609510958194733]","[0.616157054901123, 0.4979855418205261, -0.03391047194600105]","[0.5611890554428101, 0.4266590178012848, -0.05586891621351242]","[0.5280515551567078, 0.3806135058403015, -0.07424101233482361]","[0.5009410381317139, 0.33770430088043213, -0.08896244317293167]","[0.6489083766937256, 0.4551592469215393, -0.038910795003175735]","[0.6008254885673523, 0.3635346293449402, -0.05788176506757736]","[0.5716292262077332, 0.3018277883529663, -0.07518652081489563]","[0.5478742122650146, 0.2495458424091339, -0.08936034888029099]","[0.690427839756012, 0.43464305996894836, -0.047809626907110214]","[0.6565638184547424, 0.3371976613998413, -0.07113918662071228]","[0.636816143989563, 0.2738890051841736, -0.08866358548402786]","[0.6178028583526611, 0.21955102682113647, -0.10184204578399658]","[0.7377814650535583, 0.43239307403564453, -0.05915100499987602]","[0.7369731068611145, 0.346680223941803, -0.08218597620725632]","[0.7368084788322449, 0.28693485260009766, -0.09395397454500198]","[0.7336592674255371, 0.23316919803619385, -0.10250239819288254]"
"[0.1401357203722, 0.6927987337112427, 7.609144176967675e-07]","[0.2091980278491974, 0.6956967115402222, -0.04412274807691574]","[0.27907851338386536, 0.675115168094635, -0.06878189742565155]","[0.34073761105537415, 0.6766366362571716, -0.0910041481256485]","[0.3943083584308624, 0.6986294984817505, -0.11350250989198685]","[0.2771751880645752, 0.5030409097671509, -0.03786255419254303]","[0.32749342918395996, 0.425615131855011, -0.06433777511119843]","[0.35940706729888916, 0.37471646070480347, -0.08668404817581177]","[0.38487640023231506, 0.3298400640487671, -0.10315573215484619]","[0.23504026234149933, 0.465459942817688, -0.037229396402835846]","[0.2734321355819702, 0.36007845401763916, -0.06047314405441284]","[0.297387033700943, 0.29231536388397217, -0.08144878596067429]","[0.3160564601421356, 0.23674598336219788, -0.09679083526134491]","[0.1895304024219513, 0.4549621045589447, -0.04199622571468353]","[0.2146143764257431, 0.3524104952812195, -0.06658711284399033]","[0.23343271017074585, 0.28394269943237305, -0.0871826708316803]","[0.25089311599731445, 0.2262677252292633, -0.10048050433397293]","[0.14011138677597046, 0.4648455083370209, -0.05104237422347069]","[0.1387847363948822, 0.37730151414871216, -0.0750732421875]","[0.13905379176139832, 0.3176399767398834, -0.0881715789437294]","[0.14369526505470276, 0.26033204793930054, -0.09603534638881683]"
